"”NŒŽ“ú","—j","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
#2018-05-18#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-05-19#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-05-20#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-05-21#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-05-22#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-05-23#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-05-24#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-05-25#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-05-26#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-05-27#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-05-28#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2018-05-29#,"‰Î",,,,,,,,,,,,,,,,,,,,
#2018-05-30#,"…",,,,,,,,,,,,,,,,,,,,
#2018-05-31#,"–Ø",,,,,,,,,,,,,,,,,,,,
#2018-06-01#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-06-02#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-06-03#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-06-04#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-06-05#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-06-06#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2018-06-07#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2018-06-08#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-06-09#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-06-10#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-06-11#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2018-06-12#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-06-13#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-06-14#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-06-15#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-06-16#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-06-17#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-06-18#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-06-19#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-06-20#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2018-06-21#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2018-06-22#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-06-23#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-06-24#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-06-25#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2018-06-26#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-06-27#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-06-28#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-06-29#,"‹à",,,,,,,,,,,,,,,,,,,,
#2018-06-30#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-07-01#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-07-02#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-07-03#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-07-04#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2018-07-05#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2018-07-06#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-07-07#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-07-08#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-07-09#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2018-07-10#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-07-11#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-07-12#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-07-13#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-07-14#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-07-15#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-07-16#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2018-07-17#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-07-18#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2018-07-19#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2018-07-20#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-07-21#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-07-22#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-07-23#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,"‘åŒ^","‘åŒ^"
#2018-07-24#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-07-25#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-07-26#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-07-27#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-07-28#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-07-29#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-07-30#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2018-07-31#,"‰Î",,,,,,,,,,,,,,,,,,,,
#2018-08-01#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,"‘åŒ^"
#2018-08-02#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2018-08-03#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-08-04#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-08-05#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-08-06#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2018-08-07#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-08-08#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,"‘åŒ^",
#2018-08-09#,"–Ø",,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,,
#2018-08-10#,"‹à",,"‘åŒ^","‘åŒ^","‘åŒ^",,,,,,,,,,,,,,,,
#2018-08-11#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-08-12#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-08-13#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2018-08-14#,"‰Î",,,,,,,,,,,,,,,,,,,,
#2018-08-15#,"…",,,,,,,,,,,,,,,,,,,,
#2018-08-16#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^","‘åŒ^",,,,,
#2018-08-17#,"‹à",,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,,,
#2018-08-18#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-08-19#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-08-20#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^","‘åŒ^",
#2018-08-21#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-08-22#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^","‘åŒ^",,,
#2018-08-23#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-08-24#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-08-25#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-08-26#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-08-27#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2018-08-28#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-08-29#,"…",,,,,,,,,,,,,,,,,,,,
#2018-08-30#,"–Ø",,,,,,,,,,,,,,,,,,,,
#2018-08-31#,"‹à",,,,,,,,,,,,,,,,,,,,
#2018-09-01#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-09-02#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-09-03#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-09-04#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-09-05#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2018-09-06#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2018-09-07#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-09-08#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-09-09#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-09-10#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2018-09-11#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-09-12#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,"‘åŒ^",
#2018-09-13#,"–Ø",,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,,
#2018-09-14#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-09-15#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-09-16#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-09-17#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2018-09-18#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-09-19#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,"‘åŒ^"
#2018-09-20#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^","‘åŒ^",,,,,
#2018-09-21#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-09-22#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-09-23#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-09-24#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2018-09-25#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-09-26#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-09-27#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-09-28#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-09-29#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-09-30#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-10-01#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-10-02#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-10-03#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,"‘åŒ^"
#2018-10-04#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^","‘åŒ^",,,,,
#2018-10-05#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-10-06#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-10-07#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-10-08#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2018-10-09#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-10-10#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-10-11#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-10-12#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-10-13#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-10-14#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-10-15#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-10-16#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-10-17#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2018-10-18#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2018-10-19#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-10-20#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-10-21#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-10-22#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2018-10-23#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-10-24#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-10-25#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-10-26#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-10-27#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-10-28#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-10-29#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2018-10-30#,"‰Î",,,,,,,,,,,,,,,,,,,,
#2018-10-31#,"…",,,,,,,,,,,,,,,,,,,,
#2018-11-01#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2018-11-02#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-11-03#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-11-04#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-11-05#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-11-06#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-11-07#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2018-11-08#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-11-09#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-11-10#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-11-11#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-11-12#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2018-11-13#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-11-14#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-11-15#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2018-11-16#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-11-17#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-11-18#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-11-19#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-11-20#,"‰Î",,,,"‘åŒ^",,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-11-21#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2018-11-22#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-11-23#,"‹à",,,,,,,,,,,,,,,,,,,,
#2018-11-24#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-11-25#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-11-26#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2018-11-27#,"‰Î",,"‘åŒ^","‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-11-28#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-11-29#,"–Ø",,,,,,,,,,,,,,,,,,,,
#2018-11-30#,"‹à",,,,,,,,,,,,,,,,,,,,
#2018-12-01#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-12-02#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-12-03#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-12-04#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-12-05#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2018-12-06#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2018-12-07#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2018-12-08#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-12-09#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-12-10#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2018-12-11#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2018-12-12#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-12-13#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-12-14#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2018-12-15#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-12-16#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-12-17#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2018-12-18#,"‰Î",,,"‘åŒ^",,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2018-12-19#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,"‘åŒ^"
#2018-12-20#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^","‘åŒ^",,,,,
#2018-12-21#,"‹à",,"‘åŒ^",,"‘åŒ^","‘åŒ^","‘åŒ^",,,,,,,,,,,,,,
#2018-12-22#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-12-23#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-12-24#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2018-12-25#,"‰Î",,,,,,,,,,,,,,,,,,,,
#2018-12-26#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2018-12-27#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2018-12-28#,"‹à",,,,,,,,,,,,,,,,,,,,
#2018-12-29#,"“y",,,,,,,,,,,,,,,,,,,,
#2018-12-30#,"“ú",,,,,,,,,,,,,,,,,,,,
#2018-12-31#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2019-01-01#,"‰Î",,,,,,,,,,,,,,,,,,,,
#2019-01-02#,"…",,,,,,,,,,,,,,,,,,,,
#2019-01-03#,"–Ø",,,,,,,,,,,,,,,,,,,,
#2019-01-04#,"‹à",,,,,,,,,,,,,,,,,,,,
#2019-01-05#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-01-06#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-01-07#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,,,"‘åŒ^","‘åŒ^","‘åŒ^"
#2019-01-08#,"‰Î",,,"‘åŒ^",,,"‘åŒ^","‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2019-01-09#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^","‘åŒ^",,,
#2019-01-10#,"–Ø",,,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,
#2019-01-11#,"‹à",,"‘åŒ^",,"‘åŒ^","‘åŒ^",,,,,,,,,,,,,,,
#2019-01-12#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-01-13#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-01-14#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2019-01-15#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2019-01-16#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2019-01-17#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^","‘åŒ^",,,,,
#2019-01-18#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2019-01-19#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-01-20#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-01-21#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2019-01-22#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2019-01-23#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2019-01-24#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2019-01-25#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2019-01-26#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-01-27#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-01-28#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2019-01-29#,"‰Î",,,,,,,,,,,,,,,,,,,,
#2019-01-30#,"…",,,,,,,,,,,,,,,,,,,,
#2019-01-31#,"–Ø",,,,,,,,,,,,,,,,,,,,
#2019-02-01#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2019-02-02#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-02-03#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-02-04#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2019-02-05#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2019-02-06#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,"‘åŒ^"
