"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
#2024-05-02#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-05-03#,"金",,,,,,,,,,"不燃",,"資源","他プラ",,,"他プラ","他プラ",,,,,,
#2024-05-04#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-05-05#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-05-06#,"月",,,,"不燃",,"資源","他プラ","資源","他プラ",,,,,,,,,,,,,"他プラ","他プラ"
#2024-05-07#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-05-08#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-05-09#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-05-10#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-05-11#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-05-12#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-05-13#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-05-14#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-05-15#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-05-16#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-05-17#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-05-18#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-05-19#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-05-20#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-05-21#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-05-22#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-05-23#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-05-24#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-05-25#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-05-26#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-05-27#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-05-28#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-05-29#,"水",,,,"リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,,"リプラ","リプラ",
#2024-05-30#,"木","可燃","可燃","可燃",,,,,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,"リプラ"
#2024-05-31#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,,,,"リプラ","リプラ",,,,"リプラ","リプラ","可燃","可燃","可燃"
#2024-06-01#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-06-02#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-06-03#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-06-04#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-06-05#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-06-06#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-06-07#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-06-08#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-06-09#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-06-10#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-06-11#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-06-12#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-06-13#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-06-14#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-06-15#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-06-16#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-06-17#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-06-18#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-06-19#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-06-20#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-06-21#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-06-22#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-06-23#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-06-24#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-06-25#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-06-26#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-06-27#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-06-28#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-06-29#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-06-30#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-07-01#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-07-02#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-07-03#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-07-04#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-07-05#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-07-06#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-07-07#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-07-08#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-07-09#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-07-10#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-07-11#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-07-12#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-07-13#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-07-14#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-07-15#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-07-16#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-07-17#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-07-18#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-07-19#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-07-20#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-07-21#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-07-22#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-07-23#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-07-24#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-07-25#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-07-26#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-07-27#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-07-28#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-07-29#,"月","可燃","可燃","可燃",,,,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,
#2024-07-30#,"火",,,,"可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,"リプラ",,,,,"可燃","可燃","可燃"
#2024-07-31#,"水",,,,"リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,,"リプラ","リプラ",
#2024-08-01#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-08-02#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-08-03#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-08-04#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-08-05#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-08-06#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-08-07#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-08-08#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-08-09#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-08-10#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-08-11#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-08-12#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-08-13#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-08-14#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-08-15#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-08-16#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-08-17#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-08-18#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-08-19#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-08-20#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-08-21#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-08-22#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-08-23#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-08-24#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-08-25#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-08-26#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-08-27#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-08-28#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-08-29#,"木","可燃","可燃","可燃",,,,,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,"リプラ"
#2024-08-30#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,,,,"リプラ","リプラ",,,,"リプラ","リプラ","可燃","可燃","可燃"
#2024-08-31#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-09-01#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-09-02#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-09-03#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-09-04#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-09-05#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-09-06#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-09-07#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-09-08#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-09-09#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-09-10#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-09-11#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-09-12#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-09-13#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-09-14#,"土",,,,,,,,,,,,,,,,,,,,,,,
